REGION,NAME,2015,2016,BIRTHS,DEATHS,MIGRATION,OTHER
3,Alabama,4853875,4863300,58556,52405,3874,-600
4,Alaska,737709,741894,11255,4511,-2557,-2
4,Arizona,6817565,6931071,87204,56564,76405,6461
3,Arkansas,2977853,2988248,37936,30581,3530,-490
4,California,38993940,39250017,502848,273850,33530,-6451
4,Colorado,5448819,5540545,67453,37121,60773,621
1,Connecticut,3584730,3576452,35848,30638,-12822,-666
3,Delaware,944076,952065,10922,8945,5583,429
3,District of Columbia,670377,681170,9779,5455,6392,77
3,Florida,20244914,20612439,222793,201485,325986,20231
3,Georgia,10199398,10310371,130862,81525,60612,1024
4,Hawaii,1425157,1428557,18507,12237,-2583,-287
4,Idaho,1652828,1683140,22792,12496,18869,1147
2,Illinois,12839047,12801539,155238,108040,-83210,-1496
2,Indiana,6612768,6633053,83267,60909,-1083,-990
2,Iowa,3121997,3134693,39349,28739,2944,-858
2,Kansas,2906721,2907289,38702,25128,-12744,-262
3,Kentucky,4424611,4436974,55198,44883,3305,-1257
3,Louisiana,4668960,4681666,63570,45030,-5020,-814
1,Maine,1329453,1331479,12542,13842,3954,-628
3,Maryland,5994983,6016447,73321,50036,176,-1997
1,Massachusetts,6784240,6811779,72024,57563,15292,-2214
2,Michigan,9917715,9928300,113437,94353,-5328,-3171
2,Minnesota,5482435,5519952,69190,41938,11882,-1617
3,Mississippi,2989390,2988726,37880,31006,-7467,-71
2,Missouri,6076204,6093000,74423,58723,2163,-1067
4,Montana,1032073,1042520,12431,9597,7422,191
2,Nebraska,1893765,1907116,26553,15355,2043,110
4,Nevada,2883758,2940058,36462,23771,41967,1642
1,New Hampshire,1330111,1334795,12274,11572,4362,-380
1,New Jersey,8935421,8944469,102166,74762,-16704,-1652
4,New Mexico,2080328,2081015,25491,17799,-7111,106
1,New York,19747183,19745289,236507,160713,-72889,-4799
3,North Carolina,10035186,10146788,120778,89721,80078,467
2,North Dakota,756835,757952,11824,6172,-4684,149
2,Ohio,11605090,11614373,138012,115938,-7967,-4824
3,Oklahoma,3907414,3923561,53175,39588,2894,-334
4,Oregon,4024634,4093465,46198,35371,56972,1032
1,Pennsylvania,12791904,12784227,140897,133053,-10887,-4634
1,Rhode Island,1055607,1056426,10770,9849,419,-521
3,South Carolina,4894834,4961119,57926,47514,52844,3029
2,South Dakota,857919,865454,12114,7296,2573,144
3,Tennessee,6595056,6651194,81443,65454,39959,190
3,Texas,27429639,27862596,404533,192814,217542,3696
4,Utah,2990632,3051217,51444,16447,25412,176
1,Vermont,626088,624594,6035,5547,-1910,-72
3,Virginia,8367587,8411808,102366,66558,7202,1211
4,Washington,7160290,7288000,89982,55979,91981,1726
3,West Virginia,1841053,1831102,19799,22479,-6583,-688
2,Wisconsin,5767891,5778708,66079,49823,-4405,-1034
4,Wyoming,586555,585501,7590,4838,-3823,17
0,Puerto Rico,3473181,3411307,30991,28108,-64757,0
