Section,Midterm
1,22
2,12
2,23
2,14
1,20
3,20
4,19
1,24
1,0
1,13
3,10
1,25
3,20
1,12
2,17
4,14
1,13
1,21
4,24
4,12
1,21
4,0
1,8
4,13
2,17
1,10
4,19
2,14
4,22
4,13
4,18
2,14
4,15
1,18
1,15
2,18
4,13
3,8
2,15
3,22
3,0
2,17
4,11
1,15
1,20
1,11
1,25
3,15
2,11
1,13
3,23
2,17
2,16
2,11
1,22
3,23
1,21
4,7
2,24
2,19
4,9
4,8
2,21
3,18
3,15
2,13
4,21
3,9
3,20
1,1
2,18
2,8
3,10
2,13
4,18
4,10
2,22
2,20
4,11
1,20
2,0
3,0
3,10
1,14
4,20
3,22
3,18
4,14
2,21
1,14
2,11
4,15
3,4
2,17
1,19
4,24
4,14
1,9
4,13
4,11
1,14
4,19
2,23
1,15
3,16
1,21
2,5
3,7
3,11
3,11
4,21
3,0
4,15
1,0
3,16
1,23
2,0
3,11
3,17
2,16
2,17
