Letter,Score,Vowel
A,1,Yes
A,1,Yes
A,1,Yes
A,1,Yes
A,1,Yes
A,1,Yes
A,1,Yes
A,1,Yes
A,1,Yes
B,3,No
B,3,No
C,3,No
C,3,No
D,2,No
D,2,No
D,2,No
D,2,No
E,1,Yes
E,1,Yes
E,1,Yes
E,1,Yes
E,1,Yes
E,1,Yes
E,1,Yes
E,1,Yes
E,1,Yes
E,1,Yes
E,1,Yes
E,1,Yes
F,4,No
F,4,No
G,2,No
G,2,No
G,2,No
H,4,No
H,4,No
I,1,Yes
I,1,Yes
I,1,Yes
I,1,Yes
I,1,Yes
I,1,Yes
I,1,Yes
I,1,Yes
I,1,Yes
J,8,No
K,5,No
L,1,No
L,1,No
L,1,No
L,1,No
M,3,No
M,3,No
N,1,No
N,1,No
N,1,No
N,1,No
N,1,No
N,1,No
O,1,Yes
O,1,Yes
O,1,Yes
O,1,Yes
O,1,Yes
O,1,Yes
O,1,Yes
O,1,Yes
P,3,No
P,3,No
Q,10,No
R,1,No
R,1,No
R,1,No
R,1,No
R,1,No
R,1,No
S,1,No
S,1,No
S,1,No
S,1,No
T,1,No
T,1,No
T,1,No
T,1,No
T,1,No
T,1,No
U,1,Yes
U,1,Yes
U,1,Yes
U,1,Yes
V,4,No
V,4,No
W,4,No
W,4,No
X,8,No
Y,4,No
Y,4,No
Z,10,No
